クラブ,年,所属,id,呼称,ライセンス,順位,勝ち点,PPG,昇降格,営業収入,営業費用,営業利益,営業外収益,営業外費用,経常利益,特別利益,特別損失,税引前当期利益,法人税および住民税等,当期純利益,関連する法人の営業収入,総資産,流動資産,固定資産等,総負債,流動負債,固定負債,純資産,資本金,資本剰余金等,利益剰余金,広告料収入,入場料収入,Jリーグ配分金,アカデミー関連収入,物販収入,その他収入,チーム人件費,試合関連経費,トップチーム運営経費,アカデミー運営経費,女子チーム運営経費,物販関連費,事業費,販売費および一般管理費,総入場者数,ホーム総試合数,リーグ平均入場者数,客単価,リーグ戦入場者数,リーグ戦ホーム試合数,リーグカップ入場者数,リーグカップホーム試合数,PO入場者数,POホーム試合数,ACL入場者数,ACLホーム試合数,セカンドチーム入場者数,セカンドチームホーム試合数
甲府,2013,J1,ventforet,ヴァンフォーレ甲府,J1,15,37,1.0882,,1481,1460,21,9,6,24,7,20,11,8,3,,568,354,214,273,237,36,295,367,0,-72,683,403,208,36,,151,707,101,172,21,0,,,459,233358,20,12614,1727,214441,17,18917,3,0,0,0,0,,
新潟,2013,J1,albirex,アルビレックス新潟,J1,7,55,1.6176,,2548,2636,-88,148,9,51,0,0,51,22,29,,905,561,344,450,340,110,455,712,0,-257,963,674,215,143,,553,1077,283,277,128,39,,,832,470805,20,26112,1432,443906,17,26899,3,0,0,0,0,,
磐田,2013,J1,jubilo,ジュビロ磐田,J1,17,23,0.6765,降格,3298,3233,65,23,5,83,0,1,82,37,45,,1286,758,528,548,486,62,738,679,0,59,1645,446,206,249,,752,1369,328,253,182,0,,,1101,205908,20,10895,2166,185207,17,20701,3,0,0,0,0,,
札幌,2013,J2,consadole,コンサドーレ札幌,J1,8,64,1.5238,,1071,1236,-165,180,7,8,0,0,8,2,6,,685,618,67,716,165,551,-31,876,0,-907,432,330,103,54,,152,359,212,176,59,0,,,430,211568,21,10075,1560,211568,21,0,0,0,0,0,0,,
横浜FC,2013,J2,yokohamafc,横浜FC,J1,11,58,1.381,,1152,1130,22,0,0,23,0,18,5,2,3,,493,355,138,461,360,101,32,344,115,-427,579,177,92,46,,258,482,71,185,38,0,,,353,127354,21,6064,1390,127354,21,0,0,0,0,0,0,,
G大阪,2013,J2,gamba,ガンバ大阪,J1,1,87,2.0714,昇格,2786,2839,-53,29,-35,11,0,0,11,74,-63,,735,299,436,566,516,50,169,10,0,159,1696,465,105,138,,382,1486,233,194,114,0,,,812,257996,21,12286,1802,257996,21,0,0,0,0,0,0,,
神戸,2013,J2,vissel,ヴィッセル神戸,J1,2,83,1.9762,昇格,1960,2401,-441,12,5,-434,68,3,-369,1,-370,,610,383,227,2231,240,1991,-1622,98,563,-2283,682,339,104,231,,604,1160,187,304,115,0,,,635,241841,21,11516,1402,241841,21,0,0,0,0,0,0,,
徳島,2013,J2,vortis,徳島ヴォルティス,J1,4,67,1.5952,昇格,1211,1148,64,6,1,68,0,0,68,34,35,,760,602,158,217,197,20,543,409,0,134,821,105,95,58,,133,601,52,142,28,0,,,325,100604,22,4348,1044,91303,21,0,0,9301,1,0,0,,
福岡,2013,J2,avispa,アビスパ福岡,J1,14,56,1.3333,,871,966,-95,19,10,-86,0,0,-86,1,-87,,345,86,259,373,328,45,-28,126,196,-350,324,180,94,171,,102,390,73,161,58,0,,,284,120270,21,5727,1497,120270,21,0,0,0,0,0,0,,
山形,2013,J2,montedio,モンテディオ山形,J1,10,59,1.4048,,1041,1030,11,0,0,11,0,0,11,0,11,,143,131,12,118,118,0,25,0,0,0,258,202,99,61,,421,468,63,137,64,0,,,298,147416,21,7020,1370,147416,21,0,0,0,0,0,0,,
水戸,2013,J2,mitohollyhock,水戸ホーリーホック,J2,15,55,1.3095,,508,507,1,2,1,2,2,0,4,0,4,,161,142,19,101,82,19,60,80,103,-123,189,90,90,38,,101,230,35,65,10,0,,,167,97237,21,4630,926,97237,21,0,0,0,0,0,0,,
栃木,2013,J2,tochigisc,栃木SC,J1,9,63,1.5,,876,955,-78,1,2,-79,35,1,-45,2,-47,,280,258,22,343,331,12,-63,305,105,-473,474,145,95,64,,99,410,76,110,32,0,,,326,103360,21,4922,1403,103360,21,0,0,0,0,0,0,,
群馬,2013,J2,thespa,ザスパクサツ群馬,J1,20,40,0.9524,,469,494,-25,11,3,-17,0,0,-17,1,-18,,119,108,11,175,175,0,-56,234,76,-366,217,84,93,4,,72,163,58,78,9,0,,,186,74990,21,3571,1120,74990,21,0,0,0,0,0,0,,
千葉,2013,J2,jefunited,ジェフユナイテッド千葉,J1,5,66,1.5714,,2330,2217,113,3,8,108,0,0,107,10,97,,1375,311,1064,835,509,325,540,490,390,-340,1515,353,100,55,,307,994,146,262,73,66,,,676,210078,21,10004,1680,210078,21,0,0,0,0,0,0,,
東京V,2013,J2,verdy,東京ヴェルディ,J1,13,56,1.3333,,1236,1303,-67,0,2,-69,0,1,-70,0,-70,,398,376,22,389,309,80,9,276,237,-504,534,204,89,174,,235,357,144,260,91,36,,,415,133201,21,6343,1532,133201,21,0,0,0,0,0,0,,
松本,2013,J2,yamaga,松本山雅FC,J1,7,66,1.5714,,939,939,0,4,0,4,0,0,4,2,2,,222,163,59,55,52,3,167,128,0,39,386,199,99,5,,249,368,100,115,5,0,,,352,231866,21,11041,858,231866,21,0,0,0,0,0,0,,
京都,2013,J2,sanga,京都サンガF.C.,J1,3,70,1.6667,,1930,1681,249,17,3,263,0,0,263,112,151,,1045,943,102,572,542,30,473,3605,0,-3132,1235,260,107,134,,194,692,135,156,145,0,,,553,178104,22,7891,1460,165717,21,0,0,12387,1,0,0,,
岡山,2013,J2,fagiano,ファジアーノ岡山,J1,12,56,1.3333,,1034,994,40,0,5,35,0,0,35,1,34,,420,386,34,293,283,10,127,98,36,-7,439,161,98,75,,261,411,70,81,18,0,,,414,180056,21,8574,894,180056,21,0,0,0,0,0,0,,
愛媛,2013,J2,ehimefc,愛媛FC,J1,17,47,1.119,,522,582,-60,0,0,-60,1,2,-61,1,-62,,107,72,35,31,31,0,76,209,-1,-132,217,56,110,47,,92,255,29,104,30,5,,,159,82952,21,3950,675,82952,21,0,0,0,0,0,0,,
北九州,2013,J2,giravanz,ギラヴァンツ北九州,J2,16,49,1.1667,,686,673,14,0,2,12,0,0,12,1,11,,133,105,28,144,101,43,-11,156,0,-166,272,88,90,50,,186,249,48,99,26,0,,,251,66665,21,3175,1320,66665,21,0,0,0,0,0,0,,
長崎,2013,J2,vvaren,V・ファーレン長崎,J1,6,66,1.5714,,718,728,-9,0,2,-11,0,0,-11,0,-11,,218,192,26,187,185,2,31,221,0,-190,248,132,100,36,,203,229,115,78,26,0,,,279,129517,21,6167,1019,129517,21,0,0,0,0,0,0,,
秋田,2013,JFL,braublitz,ブラウブリッツ秋田,J3,8,50,1.4706,,188,207,-20,26,2,4,0,0,4,0,4,,27,9,18,114,31,83,-87,56,0,-143,103,11,6,27,,41,70,4,29,12,2,,,90,30057,17,1768,366,30057,17,0,0,0,0,0,0,,
町田,2013,JFL,zelvia,FC町田ゼルビア,J2,4,61,1.7941,,363,357,6,1,4,3,0,0,3,1,2,,111,75,36,91,19,72,20,142,95,-217,204,32,52,6,,69,115,32,49,13,0,,,148,53956,17,3174,593,53956,17,0,0,0,0,0,0,,
相模原,2013,JFL,scsagamihara,SC相模原,J3,3,61,1.7941,,111,115,-4,4,1,-1,0,0,-1,0,-1,,27,23,4,27,23,4,0,9,0,-8,81,15,0,0,,15,35,7,15,0,0,,,58,32705,17,1924,459,32705,17,0,0,0,0,0,0,,
金沢,2013,JFL,zweigen,ツエーゲン金沢,J2,7,50,1.4706,,278,277,0,2,0,2,0,0,2,0,2,,65,42,23,18,18,0,47,100,0,-53,189,8,0,21,,60,100,22,41,13,0,,,101,35074,17,2063,228,35074,17,0,0,0,0,0,0,,
琉球,2013,JFL,fcryukyu,FC琉球,J3,11,46,1.3529,,66,146,-80,3,0,-77,0,0,-77,0,-78,,82,73,9,39,39,0,43,121,0,-78,23,5,0,9,,29,59,3,14,3,0,,,66,35180,17,2069,142,35180,17,0,0,0,0,0,0,,
